claim_id,category,claim,value_in_repo,status,source_org,source_url,date,confidence,notes
THR-01,threat,Kinzhal speed,Mach 10+,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/kinzhal/,2026-08-29,HIGH,"Accelerates to Mach 4; up to Mach 10 (12,350 km/h) per CSIS"
THR-02,threat,Kinzhal range,2000-2500 km,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/kinzhal/,2026-08-29,HIGH,CORRECTED to 1500-2000 km (3000 km on Tu-22M3 per TASS 2018)
THR-03,threat,Kinzhal warhead,400-500 kg,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/kinzhal/,2026-08-29,HIGH,CORRECTED to 480 kg; length 8m diameter 1m weight ~4300 kg
THR-04,threat,Kinzhal cost,~$10-15M,ESTIMATE,,, ,,"No reliable public unit cost - keep as estimate"
THR-05,threat,Iskander speed,Mach 6-7,UNVERIFIED,,, ,,"Not stated on CSIS page; from other reporting"
THR-06,threat,Iskander range,500 km,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/ss-26-2/,2026-08-29,HIGH,400-500 km (export 9M720: 280 km); CEP 200m/50m/10-20m; payload 480-700 kg
THR-07,threat,Kalibr speed,Mach 2.5-3,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/ss-n-30a/,2026-08-29,MEDIUM,CORRECTED: 3M-14 is subsonic turbojet; supersonic only 3M-54 terminal
THR-08,threat,Kalibr range,1500-2500 km,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/ss-n-30a/,2026-08-29,HIGH,Confirmed 1500-2500 km
THR-09,threat,Kalibr warhead,200-450 kg,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/ss-n-30a/,2026-08-29,HIGH,CORRECTED to 450 kg HE (nuclear-capable)
THR-10,threat,Kh-101 speed,Subsonic,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/kh-101/,2026-08-29,HIGH,Cruise Mach 0.58; max Mach 0.8 (TRDD-50A turbofan)
THR-11,threat,Kh-101 range,3000-5500 km,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/kh-101/,2026-08-29,HIGH,CORRECTED to 2500-2800 km (unconfirmed MoD claim 4500 km)
THR-12,threat,Kh-101 warhead,400 kg,VERIFIED 2026-08-29,CSIS Missile Threat,https://missilethreat.csis.org/missile/kh-101/,2026-08-29,HIGH,CORRECTED to 450 kg; Kh-102 250 kt nuclear
THR-13,threat,Shahed-136 speed,~185 km/h,VERIFIED 2026-08-29,Wikipedia (aggregates CSIS/Reuters),https://en.wikipedia.org/wiki/HESA_Shahed_136,2026-08-29,MEDIUM,Comparable FLM-136: 194 km/h max; class ~185 km/h
THR-14,threat,Shahed-136 range,1000-2000 km,VERIFIED 2026-08-29,Wikipedia (aggregates),https://en.wikipedia.org/wiki/HESA_Shahed_136,2026-08-29,MEDIUM,970-1500 km; some est. to 2000-2500 km; mass 200-240 kg
THR-15,threat,Shahed-136 cost,$20-50K,VERIFIED 2026-08-29,Wikipedia/leaked docs/RUSI,https://en.wikipedia.org/wiki/HESA_Shahed_136,2026-08-29,HIGH,CORRECTED: 2022 est $20-50K; leaked docs $193K to RU (6000 order); RU domestic $48-80K 2024
THR-16,threat,casualties per unanswered Kinzhal,~100 avg,ESTIMATE,,, ,,"Modeling parameter - no public source; sensitivity-test"
COST-01,cost,Patriot battery cost,~$1.5B,UNVERIFIED,,, ,,"CSIS Missile Defense Project; US budget docs"
COST-02,cost,PAC-3 MSE interceptor,$4M/shot,UNVERIFIED,,, ,,"Lockheed Martin / MDA budget"
COST-03,cost,Gepard per engagement,~$1,000,UNVERIFIED,,, ,,"German MoD support lists; ammo pricing"
COST-04,cost,Iron Dome interceptor,~$50K,UNVERIFIED,,, ,,"Rafael fact sheets"
COST-05,cost,C-RAM per engagement,$750,UNVERIFIED,,, ,,"US Army C-RAM program docs"
